UF	SF	freq
zɪpəɹ	zɪpəɹ	81
læst	læst	80
braʊn	braʊn	80
wəɹk	wəɹk	80
triz	triz	79
ritʃ	ritʃ	79
slip	slip	78
teɪkɪŋ	teɪkɪŋ	78
kul	kul	78
bɑrn	bɑrn	78
sɪŋɪŋ	sɪŋɪŋ	76
mɛs	mɛs	75
stɑrt	stɑrt	75
fid	fid	75
faɪn	faɪn	74
oʊn	oʊn	74
dʌz	dʌz	74
tɛləfoʊn	tɛləfoʊn	73
kiz	kiz	73
leɪdi	leɪdi	73
træʃ	træʃ	73
wɔntɪd	wɔntɪd	73
draɪ	draɪ	73
tʃɛk	tʃɛk	73
bəɹdi	bəɹdi	72
bʌtən	bʌɾən	72
krɔl	krɔl	72
feɪvəɹɪt	feɪvəɹɪt	72
jʌki	jʌki	72
taʊəl	taʊəl	70
bjutəfəl	bjuɾəfəl	70
hoʊl	hoʊl	70
teɪbəl	teɪbəl	70
ræbət	ræbət	70
θəɹsti	θəɹsti	70
wɔkɪŋ	wɔkɪŋ	70
traɪæŋɡəl	traɪæŋɡəl	69
bæθrum	bæθrum	69
lɔrd	lɔrd	69
tʃu	tʃu	68
smɑrt	smɑrt	68
sloʊ	sloʊ	68
bɛst	bɛst	68
pɪɡlɪt	pɪɡlɪt	68
lʌv	lʌv	67
kraɪ	kraɪ	67
mjuzɪk	mjuzɪk	67
pleɪs	pleɪs	67
pitʃəz	pitʃəz	67
lɛtəɹ	lɛɾəɹ	65
bʌɡ	bʌɡ	65
stɪk	stɪk	65
eɪt	eɪt	65
həɹd	həɹd	65
tʌmi	tʌmi	65
pɑp	pɑp	64
ɡeɪv	ɡeɪv	64
nɑk	nɑk	64
θroʊɪŋ	θroʊɪŋ	63
ɡɑtʃə	ɡɑtʃə	63
kɪtʃən	kɪtʃən	63
ɡrændmɑ	ɡrændmɑ	63
ɪrz	ɪrz	63
fɪnɪʃt	fɪnɪʃt	63
wɑʃt	wɑʃt	63
treɪ	treɪ	62
brʌʃ	brʌʃ	62
rʌnɪŋ	rʌnɪŋ	62
nu	nu	62
laɪən	laɪən	62
soʊp	soʊp	61
pɪŋk	pɪŋk	61
baɪ	baɪ	61
loʊʃən	loʊʃən	61
wəɹld	wəɹld	61
tʃeɪndʒd	tʃeɪndʒd	61
draɪ	draɪ	61
təɹtəl	təɹtəl	61
raɪd	raɪd	60
niz	niz	60
slip	slip	60
bɪld	bɪld	60
kɪs	kɪs	60
wʌndəɹfəl	wʌndəɹfəl	60
θru	θru	60
kɔld	kɔld	60
rɛst	rɛst	59
wuf	wuf	59
təɹn	təɹn	59
smɔl	smɔl	59
wɔrm	wɔrm	59
splæʃ	splæʃ	59
hɛlp	hɛlp	59
pəɹpəl	pəɹpəl	59
taʊn	taʊn	59
stɑr	stɑr	59
dæd	dæd	58
kreɪzi	kreɪzi	58
tɔl	tɔl	58
pʌzəl	pʌzəl	57
tənaɪt	tənʌɪt	57
kaʊtʃ	kaʊtʃ	57
rustəɹ	rustəɹ	57
jʌm	jʌm	57
dʒɛntəl	dʒɛntəl	57
səpoʊzd	səpoʊzd	57
læm	læm	57
spəɡɛti	spəɡɛɾi	56
seɪm	seɪm	56
ɡɪvɪŋ	ɡɪvɪŋ	56
bəlunz	bəlunz	56
frɑɡ	frɑɡ	56
pɛɡ	pɛɡ	56
rəfrɪdʒəɹeɪtəɹ	rəfrɪdʒəɹeɪɾəɹ	56
i	i	55
dɪfəɹənt	dɪfəɹənt	55
stændɪŋ	stændɪŋ	55
frɛnd	frɛnd	55
snæk	snæk	55
oʊ	oʊ	55
aɪdiə	aɪdiə	55
ɡɔn	ɡɔn	55
plænt	plænt	55
mun	mun	54
lif	lif	54
snæp	snæp	54
lʊk	lʊk	54
baɪk	bʌɪk	54
ɡlæsəz	ɡlæsəz	54
lɪd	lɪd	53
boʊt	boʊt	53
kɑfi	kɑfi	53
skaɪ	skaɪ	53
pɛrz	pɛrz	53
drɛst	drɛst	53
mɪki	mɪki	53
weɪt	weɪt	52
drɑp	drɑp	52
fəɹɡɑt	fəɹɡɑt	52
hoʊp	hoʊp	52
wɑʃ	wɑʃ	52
ɛrpleɪn	ɛrpleɪn	52
sʌn	sʌn	52
rʌf	rʌf	51
braʊn	braʊn	51
fɑrm	fɑrm	51
bæŋ	bæŋ	51
wʊdi	wʊdi	51
bloʊɪŋ	bloʊɪŋ	51
bin	bin	51
pæt	pæt	51
swɪʃ	swɪʃ	51
rætəl	ræɾəl	50
nʌn	nʌn	50
ɡʊdnəs	ɡʊdnəs	50
waɪl	waɪl	50
tʃeɪndʒ	tʃeɪndʒ	50
fɑlɪŋ	fɑlɪŋ	50
frut	frut	50
bɛrz	bɛrz	50
bæskətbɔl	bæskətbɔl	49
bɛt	bɛt	49
kwaɪət	kwaɪət	49
mɪs	mɪs	49
drʌm	drʌm	49
mʌŋki	mʌŋki	49
bɔlz	bɔlz	49
muv	muv	49
ɡlæd	ɡlæd	49
swɪŋ	swɪŋ	49
bəɹdz	bəɹdz	49
pul	pul	48
twit	twit	48
ɡɔn	ɡɔn	48
beɪk	beɪk	48
prɛs	prɛs	48
tɛlɪŋ	tɛlɪŋ	48
binz	binz	48
kloʊzd	kloʊzd	48
koʊt	koʊt	48
jɛstəɹdeɪ	jɛstəɹdeɪ	48
pleɪd	pleɪd	47
əndəɹstænd	əndəɹstænd	47
ridɪŋ	ridɪŋ	47
lɪsən	lɪsən	47
mɪnəts	mɪnəts	47
bʌkəl	bʌkəl	47
sɪstəɹ	sɪstəɹ	47
krækəɹ	krækəɹ	47
mɛdəsən	mɛdəsən	47
fʌsɪŋ	fʌsɪŋ	47
hæftə	hæftə	47
jɪr	jɪr	47
switi	swiɾi	47
blæŋkət	blæŋkət	47
bɪzi	bɪzi	47
kʊkiz	kʊkiz	47
pʊʃ	pʊʃ	47
tʌb	tʌb	47
bʌtəɹflaɪ	bʌɾəɹflaɪ	47
kærəts	kærəts	47
pʊlɪŋ	pʊlɪŋ	47
wʌndəɹ	wʌndəɹ	47
pʌmpkɪn	pʌmpkɪn	47
ɡaɪ	ɡaɪ	46
wɑtʃɪŋ	wɑtʃɪŋ	46
bɛr	bɛr	46
pi	pi	46
stroʊləɹ	stroʊləɹ	46
dʌmp	dʌmp	46
sɪk	sɪk	46
kɪk	kɪk	46
ɛr	ɛr	46
dæns	dæns	46
baʊnsi	baʊnsi	46
wilz	wilz	45
buti	buɾi	45
snæp	snæp	45
nit	nit	45
bʌbəl	bʌbəl	45
joʊɡəɹt	joʊɡəɹt	45
lɔst	lɔst	45
skul	skul	44
bit	bit	44
bʌkɪt	bʌkɪt	44
dip	dip	44
slaɪd	slaɪd	44
nudəlz	nudəlz	44
roʊlɪŋ	roʊlɪŋ	44
raɪs	rʌɪs	44
wəɹkɪŋ	wəɹkɪŋ	44
kɑt	kɑt	44
noʊz	noʊz	43
heɪ	heɪ	43
bɑtəm	bɑɾəm	43
ɡraʊnd	ɡraʊnd	43
ləɹn	ləɹn	43
ʃeɪk	ʃeɪk	43
bʌz	bʌz	43
hʌɡ	hʌɡ	43
frɛndz	frɛndz	43
zɪp	zɪp	43
bʌt	bʌt	43
kju	kju	42
maʊs	maʊs	42
jɑrd	jɑrd	42
mɑrkət	mɑrkət	42
ɡɛts	ɡɛts	42
sit	sit	42
klɪŋk	klɪŋk	42
pɛr	pɛr	42
piz	piz	42
laʊd	laʊd	42
læp	læp	42
tʃɪps	tʃɪps	42
weɪvɪŋ	weɪvɪŋ	42
ræn	ræn	42
tuθ	tuθ	42
mɪtənz	mɪɾənz	42
kɑrt	kɑrt	41
klɑk	klɑk	41
waɪd	waɪd	41
dɪʃəz	dɪʃəz	41
pur	pur	41
ʌvən	ʌvən	41
tʃɪn	tʃɪn	41
ɡræb	ɡræb	41
drɪŋkɪŋ	drɪŋkɪŋ	41
spaʊt	spaʊt	41
haɪdɪŋ	haɪdɪŋ	41
tʃɪrioʊ	tʃɪrioʊ	41
weɪv	weɪv	41
fɪksɪŋ	fɪksɪŋ	41
dʒækət	dʒækət	41
beɪb	beɪb	40
spɪt	spɪt	40
vi	vi	40
kɑrd	kɑrd	40
kɑf	kɑf	40
kraɪɪŋ	kraɪɪŋ	40
mɛsi	mɛsi	40
bʌdi	bʌdi	40
ti	ti	40
raɪd	raɪd	40
baʊns	baʊns	40
filz	filz	40
kaʊz	kaʊz	39
kɪtənz	kɪɾənz	39
əmbrɛlə	əmbrɛlə	39
saʊnd	saʊnd	39
sæmi	sæmi	39
livz	livz	39
boʊn	boʊn	39
taʊəɹ	taʊəɹ	39
hænsəm	hænsəm	39
kəmpjutəɹ	kəmpjuɾəɹ	39
hoʊm	hoʊm	39
kɑm	kɑm	39
weɪk	weɪk	39
fɑrməɹ	fɑrməɹ	38
itɪŋ	iɾɪŋ	38
spɪn	spɪn	38
wɑʃɪŋ	wɑʃɪŋ	38
kɛr	kɛr	38
pæn	pæn	38
pɪktʃəɹz	pɪktʃəɹz	38
wɔkɪŋ	wɔkɪŋ	38
ɡeɪt	ɡeɪt	38
strɔŋ	strɔŋ	38
aʊl	aʊl	38
ʌpsaɪd	ʌpsaɪd	37
rʌn	rʌn	37
kʌpəl	kʌpəl	37
æpəlz	æpəlz	37
tɪməθi	tɪməθi	37
waɪnd	waɪnd	37
mɪst	mɪst	37
breɪk	breɪk	37
fəɹ	fəɹ	37
prɑbləm	prɑbləm	37
min	min	37
kloʊs	kloʊs	37
bæθtəb	bæθtəb	37
pisəz	pisəz	37
bənænəz	bənænəz	37
tʃuɪŋ	tʃuɪŋ	37
læf	læf	37
stɛp	stɛp	36
flaɪɪŋ	flaɪɪŋ	36
bɪɡəɹ	bɪɡəɹ	36
mɛsɪŋ	mɛsɪŋ	36
ɪksaɪtəd	ɪksʌɪɾəd	36
zɪp	zɪp	36
kwɪt	kwɪt	36
tʌf	tʌf	36
preɪz	preɪz	36
æsk	æsk	36
teɪp	teɪp	36
muvɪŋ	muvɪŋ	36
klinɪŋ	klinɪŋ	36
wɔl	wɔl	36
kʌləɹ	kʌləɹ	35
dʒɔɪ	dʒɔɪ	35
daɪnəsɔr	daɪnəsɔr	35
strit	strit	35
pɛt	pɛt	35
spɑt	spɑt	35
wʌnz	wʌnz	35
dʒəɹæf	dʒəɹæf	35
spɛʃəl	spɛʃəl	35
pleɪ	pleɪ	35
fʌs	fʌs	35
kɪdz	kɪdz	35
ni	ni	35
rɪd	rɪd	35
ɑr	ɑr	35
biz	biz	35
fʌsi	fʌsi	35
bif	bif	34
stɛps	stɛps	34
baɪtɪŋ	bʌɪɾɪŋ	34
θɪŋkɪŋ	θɪŋkɪŋ	34
rɑks	rɑks	34
klind	klind	34
læfɪŋ	læfɪŋ	34
pinət	pinət	34
nɛk	nɛk	34
beɪsbɔl	beɪsbɔl	34
tɔɪlət	tɔɪlət	34
səɹ	səɹ	34
ʌŋkəl	ʌŋkəl	34
pu	pu	34
snoʊ	snoʊ	34
skrætʃi	skrætʃi	34
skwɑʃ	skwɑʃ	34
deɪz	deɪz	33
ʃeɪkɪŋ	ʃeɪkɪŋ	33
bæt	bæt	33
rɪns	rɪns	33
sin	sin	33
hoʊldɪŋ	hoʊldɪŋ	33
hɑp	hɑp	33
krækəɹz	krækəɹz	33
mus	mus	33
rɪŋz	rɪŋz	33
kɔlɪŋ	kɔlɪŋ	33
stɪŋk	stɪŋk	33
kaʊnt	kaʊnt	33
paɪl	paɪl	33
daʊnstɛrz	daʊnstɛrz	33
klɑzət	klɑzət	33
drɔr	drɔr	33
ʃɔrts	ʃɔrts	33
koʊm	koʊm	32
bʌntʃ	bʌntʃ	32
keɪ	keɪ	32
bʌmpi	bʌmpi	32
pæmpəɹ	pæmpəɹ	32
pleɪpɛn	pleɪpɛn	32
steɪd	steɪd	32
rəkɔrdɪŋ	rəkɔrdɪŋ	32
ɡoʊ	ɡoʊ	32
livɪŋ	livɪŋ	32
minz	minz	32
kætəpɪləɹ	kæɾəpɪləɹ	31
twɪŋkəl	twɪŋkəl	31
dʌks	dʌks	31
bɑrni	bɑrni	31
stɛp	stɛp	31
ʃɛr	ʃɛr	31
frɛʃ	frɛʃ	31
izi	izi	31
slipɪŋ	slipɪŋ	31
kɪŋ	kɪŋ	31
kɑrdz	kɑrdz	31
flaɪ	flaɪ	31
reɪnɪŋ	reɪnɪŋ	31
pɔr	pɔr	31
wɛrɪŋ	wɛrɪŋ	31
æskt	æskt	31
təɹnd	təɹnd	31
wəɹi	wəɹi	31
bəɹp	bəɹp	30
dɔɡiz	dɔɡiz	30
haɪd	haɪd	30
kɪkɪŋ	kɪkɪŋ	30
laɪf	lʌɪf	30
aɪs	ʌɪs	30
ænəməl	ænəməl	30
stɔr	stɔr	30
sæd	sæd	30
wɑʃklɔθ	wɑʃklɔθ	30
pitəɹ	piɾəɹ	30
weɪtɪŋ	weɪɾɪŋ	30
sɛt	sɛt	30
bɛdrum	bɛdrum	30
list	list	30
θæŋks	θæŋks	30
